gvkey,datadate,tic,act,aedi,at,capx,che,cogs,ib,lct,lt,pi,revt,txach,txc,txdb,txdc,txdi,txt,state
1004,5/31/2023,AIR,1097.9,,1833.1,29.5,81.8,1591.3,89.8,351.5,734,121.2,1990.6,0,33.6,33.6,-2.2,-2.2,31.4,IL
1045,12/31/2023,AAL,13572,,63058,2596,8488,38716,822,22062,68260,1121,52788,0,,9,299,299,299,TX
1050,12/31/2023,CECO,281.437,,600.291,8.384,55.448,369.206,12.911,203.106,362.8,21.525,544.845,-1.976,7.147,8.838,-0.118,-0.123,7.024,TX
1062,11/30/2023,ASA,,0.203,335.619,,,,9.726,,0.707,9.726,13.018,,0,0,,0,0,ME
1062,11/30/2023,ASA,,,335.619,,0.078,3.473,9.726,,0.707,9.726,2.394,,0,0,,0,0,ME
1075,12/31/2023,PNW,1926.967,,24661.153,1889.934,4.955,3077.308,501.557,2889.347,18376.291,595.693,4695.991,,24.126,2416.48,52.755,52.786,76.912,AZ
1076,12/31/2023,PRG,,,1491.255,9.616,155.416,155.25,138.838,,899.924,196.221,2408.264,,89.832,104.838,-32.449,-32.449,57.383,UT
1078,12/31/2023,ABT,22670,,73214,2202,7279,16602,5723,13841,34387,6664,40109,-585,,568,0,-461,941,IL
1084,12/31/2023,WDDD,0.265,,0.265,0,0.245,0,0.082,3.407,3.407,0.082,0,0,0,0,0,0,0,MA
1096,12/31/2023,MRCBF,226.222,,11623.088,337.826,116.517,555.911,74.176,2016.938,6886.303,81.585,1224.018,0,,835.481,13.673,13.673,23.349,ON
1097,12/31/2023,ACMTA,,,52.124,0.043,10.523,-1.004,0.51,,23.276,0.377,2.148,0,-0.103,0,-0.101,-0.03,-0.133,CT
1104,12/31/2023,ACU,92.024,,149.241,4.674,5.546,114.223,17.793,26.012,51.343,22.734,191.501,,4.346,0.899,0.594,0.595,4.941,CT
1117,12/31/2023,BKTI,37.202,,49.408,2.117,3.456,50.223,-2.23,20.418,28.097,-2.176,74.094,0,0.054,0,0,0,0.054,FL
1119,12/31/2023,ADX,,,,,,,,,,,,,,,,,,MD
1121,12/31/2023,AE,232.471,,361.334,11.897,45.246,2700.099,0.212,210.787,268.618,0.486,2745.293,,2.69,12.948,-2.416,-2.416,0.274,TX
1161,12/31/2023,AMD,16768,,67885,546,5773,10833,854,6689,11993,508,22680,,673,1202,-1019,-1019,-346,CA
1166,12/31/2023,ASMIY,1999.432,,4671.993,170.337,704.397,1311.357,831.3,816.608,1105.252,957.805,2911.846,,,165.964,31.944,31.944,126.505,
1186,12/31/2023,AEM,2191.152,,28684.949,1665.079,348.847,3466.163,1941.307,1048.026,9262.034,2359.069,6626.909,,,4973.271,52.041,52.041,417.762,ON
1209,9/30/2023,APD,5200.5,,32002.5,4626.4,1949.2,7474.7,2292.8,3895.8,16342.2,2882.4,12600,,575.9,1266,-24.7,-24.7,551.2,PA
1210,3/31/2023,AIRT,116.557,,189.562,1.178,9.451,201.66,-12.295,64.286,163.87,-11.353,247.323,,1.041,2.417,0,-0.609,0.432,NC
1224,9/30/2023,EGN1,168.6,,2449.3,117.6,1.2,382.1,66,240.3,1521.3,86.3,571.1,3.3,0,9.1,20.3,20.3,20.3,AL
1225,12/31/2023,SO1,3077,,35780,2022,324,4014,1370,2304,23447,1451,7050,,324,4170,-242,-243,81,AL
1230,12/31/2023,ALK,2705,,14613,1494,1791,8106,235,4459,10500,323,10426,0,-7,695,81,95,88,WA
1234,12/31/2023,ATRI,114.765,,260.825,22.319,6.256,91.84,19.411,12.621,,22.375,169.326,0.032,4.481,2.371,-1.517,-1.517,2.964,TX
1254,12/31/2023,MATX,602.3,,4294.6,248.4,136.3,2332.7,297.1,562.3,1893.9,373,3094.6,,56.2,669.3,19.6,19.7,75.9,HI
1257,12/31/2023,ALX,,,1403.68,0,552.977,134.108,102.413,,1166.023,102.413,224.962,0,0,0,0,0,0,NJ
1257,12/31/2023,ALX,,,1403.68,,,,102.413,,1166.023,102.413,301.159,,0,0,,0,0,NJ
1262,12/31/2023,AGMJF,161.391,,1344.156,119.249,32.831,539.089,82.87,147.187,565.847,94.23,721.22,,,80.62,9.274,9.274,11.36,ON
1263,3/31/2023,ASTL,1366.3,,2455.6,333.5,251.3,2293.8,298.5,343.4,993.4,376.1,2778.5,-58.3,,96.7,-12,-12,77.6,ON
1266,9/30/2023,ALCO,58.805,,428.353,16.733,1.062,45.84,1.835,15.065,177.976,2.459,39.846,0,-0.02,36.41,0.821,0.821,0.801,FL
1272,6/30/2023,PBAJ,0,,0,0,0,0,-0.024,0.128,0.128,-0.024,0,0,0,0,0,0,0,NY
1300,12/31/2023,HON,23502,,61525,1039,8095,22044,5658,18539,45084,7159,36662,,1334,2094,153,153,1487,NC
1327,9/30/2023,SWKS,3179.5,,8426.7,210.3,734.4,2037.1,982.8,955.7,2344,1078.8,4772.4,,238.9,9.1,-151.2,-142.9,96,CA
1352,12/31/2023,GYLD,,,,,,,,,,,,,,,,,,MD
1380,12/31/2023,HES,3430,,24007,4108,1688,4806,1382,3270,14405,2471,10511,38,544,608,,189,733,NY
1388,12/31/2023,AMR1,20367,,69074,2542,8475,38739,1188,21617,62497,1582,52784,0,0,9,394,394,394,TX
1393,3/31/2023,UHAL,,,18124.648,2723.901,2430.629,3928.194,922.998,,11596.313,1217.923,5864.691,0,162.442,1334.427,131.754,132.483,294.925,NV
1397,12/31/2023,ABLT,69.21,,117.738,3.574,1.518,135.215,-2.641,47.405,92.745,-2.679,185.529,,,,-0.233,,-0.038,MA
1410,10/31/2023,ABM,1710.8,,4933.7,52.6,69.5,6993.4,251.3,1217.9,3133.8,331.1,8096.4,15.1,84.7,85,-4.9,-4.9,79.8,NY
1414,12/31/2023,PRI,,,15027.732,,,,576.601,,12961.765,751.68,2889.837,,218.459,112.578,,-43.38,175.079,GA
1414,12/31/2023,PRI,,,15027.732,33.897,820.063,2005.217,576.601,,12961.765,751.68,2815.679,,218.459,112.578,-43.38,-43.38,175.079,GA
1417,6/30/2023,VBF,,,,,,,,,,,,,,,,,,GA
1440,12/31/2023,AEP,6082.1,,96684,7506.5,593.3,12208.7,2208.1,11583.6,71355.6,2267.2,18982.3,22.5,-47.7,9415.7,185.1,102.3,54.6,OH
1447,12/31/2023,AXP,,0,261108,,,,8374,,233051,10513,67212,,3468,0,,-1329,2139,NY
1447,12/31/2023,AXP,,,261108,1565,48380,52586,8374,,233051,10513,67364,,3468,0,-1329,-1329,2139,NY
1449,12/31/2023,AFL,,,126724,0,7050,13247,4659,,104739,5262,17729,-967,,-269,,-1060,603,GA
1449,12/31/2023,AFL,,0,126724,,,,4659,,104739,5262,18936,,1663,-269,,-1060,603,GA
1487,12/31/2023,AIG,,,539306,0,27260,37429,3643,,488005,3858,46682,0,,346,,-511,-20,NY
1487,12/31/2023,AIG,,,539306,,,,3643,,488005,3858,48230,,491,346,,-511,-20,NY
1507,12/31/2023,HYEM,,,,,,,,,,,,,,,,,,NY
1545,12/31/2023,ARL,,,1023.484,18.462,169.515,38.083,3.968,,206.973,6.707,73.87,0,1.456,,0,0,1.456,TX
1545,12/31/2023,ARL,,12.424,1023.484,,,,3.968,,206.973,6.707,80.589,,1.456,0,,0,1.456,TX
1559,12/31/2023,AMS,20.456,,48.162,6.273,13.808,6.908,0.61,10.779,21.883,0.696,21.325,0.974,1.19,0.063,-0.759,-0.759,0.431,CA
1562,4/30/2023,LGTY,149.989,,195.62,3.922,114.147,46.316,10.421,55.998,56.286,12.886,123.659,0,6.557,0,-4.092,-4.092,2.465,GA
1585,12/31/2023,AVD,432.021,,767.548,11.878,11.416,378.427,7.519,230.495,397.538,10.297,579.371,,12.487,7.892,-9.71,-9.709,2.778,CA
1598,12/31/2023,AME,2824.668,,15023.533,136.249,409.804,3874.849,1313.188,2882.573,6293.342,1606.412,6596.95,,385.126,836.695,-91.903,-91.902,293.224,PA
1602,12/31/2023,AMGN,30332,,97154,1112,10944,4530,6717,18392,90922,7855,28190,,2353,2354,-1273,-1215,1138,CA
1613,12/31/2023,AP,236.653,,565.654,20.448,7.286,347.781,-39.928,116.885,494.083,-39.277,422.34,0,1.806,0.543,-2.964,-2.964,-1.158,PA
1618,4/30/2023,AXR,,,115.895,0.131,19.993,29.714,21.79,,4.895,7.641,48.676,,0.035,0,-13.762,-14.184,-14.149,PA
1618,4/30/2023,AXR,,1.028,115.895,,,,21.79,,4.895,7.641,50.536,,0.035,0,,-14.184,-14.149,PA
1632,10/31/2023,ADI,4384.022,,48794.478,1261.463,958.061,3094.836,3314.579,3200.971,13229.356,3608.003,12305.539,-263.716,746.37,3127.852,-452.946,-452.946,293.424,MA
1659,12/31/2023,ANDE,2806.963,,3855.007,150.443,643.854,13879.643,101.19,1636.331,2338.62,169.563,14750.112,0,38.995,58.581,-1.596,-1.961,37.034,OH
1661,12/31/2023,NBR,1645.678,,5277.965,540.851,1070.178,1790.38,-11.784,1213.981,3996.88,129.124,3005.981,24.135,63.339,1.366,15.881,15.881,79.22,
1678,12/31/2023,APA,2462,,15244,2357,87,2780,2855,2404,11553,2883,8378,,1338,371,-1662,-1662,-324,TX
1686,2/28/2023,APOG,383.101,,915.365,45.177,23.646,1067.823,104.107,242.549,518.957,116.621,1440.696,,17.522,1.417,-7.185,-7.185,12.514,MN
1689,12/31/2023,AEP1,1059,,15711.9,1053,38.8,2617.8,294.4,1685.9,10435.2,308.6,3720.7,25.2,68.5,2011.9,-54.3,-54.3,14.2,OH
1690,9/30/2023,AAPL,143566,,352583,10959,61555,205637,96995,145308,290437,113736,383285,,19765,601,0,-3024,16741,CA
1704,10/31/2023,AMAT,19147,,30729,1106,6869,13618,6856,7372,14380,7716,26517,-20,1218,10,24,-358,860,CA
1706,8/31/2023,EPAC,355.64,,762.597,9.4,154.415,290.479,53.649,148.12,435.977,68.898,598.204,9.933,14.74,5.667,0.46,0.509,15.249,WI
1718,6/30/2023,AOXY,0.106,,0.698,0,0.105,0.028,0.002,0.22,0.347,0.01,0.039,0.009,0.008,0,0,0,0.008,VT
1722,12/31/2023,ADM,29767,,54631,1494,8596,85314,3483,18662,30166,4294,93935,,851,1309,-23,,828,IL
1742,12/31/2023,PNW1,1850.388,,24516.455,1864.615,4.549,3062.102,547.337,2191.519,17167.319,658.745,4695.991,5.542,27.432,2431.697,66.751,66.752,94.184,AZ
1743,12/31/2023,ARCB,884.783,,2485.094,231.998,330.068,4103.686,142.164,701.563,1242.731,186.915,4427.443,,50.317,55.785,-5.566,-5.566,44.751,AR
1745,12/31/2023,ETR1,977.419,,13672.858,1063.273,3.632,1624.49,402.081,1213.518,9912.188,297.64,2646.396,4.625,28.899,1437.053,,-128.109,-99.21,AR
1773,12/31/2023,ARW,18327.477,,21726.168,83.285,218.053,28958.102,903.505,13187.884,15848.861,1164.354,33107.12,0,348.971,,-93.98,-93.98,254.991,CO
1783,11/30/2023,ARTW,15.085,,24.402,0.842,0.004,20.893,0.763,9.395,12.761,1.089,30.281,0.002,,0,0.102,,0.326,IA
1790,12/31/2023,AB.,6.446,,36.174,0.557,2.426,1.919,1.44,4.299,54.9,1.48,5.133,-0.02,,0,0,0,0.04,QC
1794,9/30/2023,ASH,1506,,5939,170,494,1371,168,456,2842,160,2191,0,24,148,-32,-32,-8,DE
1820,1/31/2023,ALOT,79.762,,139.207,0.229,3.946,90.455,2.661,37.498,54.84,3.41,142.527,1.71,2.085,0.167,-1.336,-1.336,0.749,RI
1823,12/31/2023,ATRO,389.782,,633.792,7.643,11.313,542.31,-26.421,143.334,384.274,-26.311,689.206,,-0.036,1.307,0.146,0.146,0.11,NY
1828,12/31/2023,ACLLF,1836,,25358,1423,592,2515,432,1616,16860,1061,4741,,,2152,196,196,242,AB
