gvkey,datadate,indfmt,tic,cusip,conm,caps,capx,capxv,ceq,ci,cibegni,citotal,cogs,cshfd,cstkcv,dlc,ebitda,fiao,fincf,fopox,exchg,cik,cshtr_c,mkvalt,prcc_f,prch_f,prcl_f,state
1004,5/31/2023,INDL,AIR,361105,AAR CORP,484.5,29.5,29.5,1099.1,86.3,90.2,86.3,1591.3,35.1,1,12.3,179.3,-1.9,137.7,17.1,11,1750,77226512,1749.6408,50.11,56.86,33.75,IL
1045,12/31/2023,INDL,AAL,02376R102,AMERICAN AIRLINES GROUP INC,7374,2596,2596,-5202,513,822,513,38716,719.669,0.01,4941,6267,-310,-3206,119,14,6201,6922323460,8989.711,13.74,19.08,10.86,TX
1050,12/31/2023,INDL,CECO,125141101,CECO ENVIRONMENTAL CORP,254.956,8.384,8.384,232.643,16.223,14.501,14.633,369.206,35.334,0.01,17.959,52.695,-5.399,21.144,6.907,14,3197,81352881,706.4538,20.28,21.43,10.675,TX
1062,11/30/2023,FS,ASA,G3156P103,ASA GOLD AND PRECIOUS METALS,1.373,,,334.912,,,,,,,0,,,,,11,1230869,13084441,295.3299,15.31,17.75,12.795,ME
1062,11/30/2023,INDL,ASA,G3156P103,ASA GOLD AND PRECIOUS METALS,1.373,,,334.912,9.726,9.726,9.726,3.473,19.29,1,0,-1.079,,,,11,1230869,13084441,295.3299,15.31,17.75,12.795,ME
1075,12/31/2023,INDL,PNW,723484101,PINNACLE WEST CAPITAL CORP,0,1889.934,1943.052,6177.664,517.072,518.781,499.848,3077.308,113.804,24.24,1552.383,1618.683,-21.255,486.675,,11,764622,214855175,8148.452,71.84,86.03,68.55,AZ
1076,12/31/2023,INDL,PRG,74319R101,PROG HOLDINGS INC,352.421,9.616,9.616,591.331,138.838,138.838,138.838,155.25,46.55,0.5,0,1849.328,-0.029,-141.867,361.642,11,1808834,113134343,1349.9633,30.91,44.81,16.75,UT
1078,12/31/2023,INDL,ABT,2824100,ABBOTT LABORATORIES,0,2202,2202,38603,5935,5723,5935,16602,1749,12.51,1325,10036,21,-7091,770,11,1800,1292513993,190869.7453,110.07,115.83,89.674,IL
1084,12/31/2023,INDL,WDDD,98159J200,WORLDS INC,42.336,0,0,-3.142,0.082,0.082,0.082,0,57.113,0.001,0.773,-0.317,0,0,0,19,1961,12168771,0.2456,0.0043,0.0158,0.0031,MA
1096,12/31/2023,INDL,MRCBF,617577101,MORGUARD CORP,0,337.826,337.826,3887.55,14.018,58.236,32.359,555.911,10.903,9.097,1771.716,580.976,41.882,37.652,168.958,19,,964107,1145.9617,105.98,124.01,100.05,ON
1097,12/31/2023,INDL,ACMTA,4616207,ACMAT CORP  -CL A,0,0.043,0.043,28.848,1.284,0.51,1.284,-1.004,0.771,1,0,0.581,0,-0.775,-0.892,19,2062,4281,25.9125,33.5,38,31,CT
1104,12/31/2023,INDL,ACU,4816104,ACME UNITED CORP,15.918,4.674,4.674,97.898,18.175,17.793,18.175,114.223,3.658,2.5,1.518,18.256,0,-38.441,2.094,12,2098,2254463,156.2247,42.86,44.86,21.3,CT
1117,12/31/2023,INDL,BKTI,05587G203,BK TECHNOLOGIES CORP,48.602,2.117,2.117,21.311,-2.23,-2.23,-2.23,50.223,3.427,0.6,7.072,0.858,1,2,2.674,12,2186,2387408,43.7442,12.2293,19.9,8.79,FL
1119,12/31/2023,INDL,ADX,6212104,ADAMS DIVERSIFIED EQUITY FD,,,,,,,,,,,,,,,,11,2230,44772526,,17.71,17.93,14.36,MD
1121,12/31/2023,INDL,AE,6351308,ADAMS RESOURCES & ENERGY INC,21.802,11.897,11.897,92.716,0.212,0.212,0.212,2700.099,2.568,0.1,11.535,27.696,0,-12.984,-1.674,12,2178,4814058,66.6805,26.18,61.84,24.99,TX
1161,12/31/2023,INDL,AMD,7903107,ADVANCED MICRO DEVICES,59676,546,546,55892,885,854,885,10833,1625,0.01,857,3881,-2,-1146,1319,14,2488,15346312100,238214.56,147.41,151.05,60.05,CA
1166,12/31/2023,INDL,ASMIY,N07045102,ASM INTERNATIONAL NV,78.837,170.337,170.337,3566.741,730.662,831.3,730.662,1311.357,49.555,0.04,12.02,917.359,0,-260.917,-44.069,19,351483,,,519.133,536.605,253.333,
1186,12/31/2023,INDL,AEM,8474108,AGNICO EAGLE MINES LTD,223.829,1665.079,1665.079,19422.915,1871.12,1941.307,1871.12,3466.163,489.913,36.85,146.394,2689.122,0,-163.958,-737.161,11,2809,670042414,27276.8502,54.85,61.15,43.22,ON
1209,9/30/2023,INDL,APD,9158106,AIR PRODUCTS & CHEMICALS INC,1190.5,4626.4,4626.4,14312.9,2859.6,2338.6,2636.9,7474.7,222.7,1,969.2,4062.7,-86.8,1609.6,163.1,11,2969,242155998,62971.48,283.4,328.56,224.7549,PA
1210,3/31/2023,INDL,AIRT,9207101,AIR T INC,0.728,1.178,1.178,11.904,-10.706,-11.785,-11.216,201.66,2.847,0.25,40.4,0.279,-1.528,-12.38,8.609,14,353184,2328981,70.5909,25.05,28.95,14.01,NC
1224,9/30/2023,INDL,EGN1,10284008,SPIRE ALABAMA INC,285.88,117.6,117.6,928,66,66,66,382.1,,0.01,126,189,-32,-14.8,,0,3146,,,,,,AL
1225,12/31/2023,INDL,SO1,10392009,ALABAMA POWER CO,7125,2022,2104,12333,1372,1370,1372,4014,,40,275,3036,385,-161,,0,3153,,,,,,AL
1230,12/31/2023,INDL,ALK,11659109,ALASKA AIR GROUP INC,695,1494,1494,4113,324,235,324,8106,128.708,0.01,511,1288,-139,-147,507,11,766421,539262286,4926.3363,39.07,57.179,30.75,WA
1234,12/31/2023,INDL,ATRI,49904105,ATRION CORP,67.331,22.319,22.319,242.889,19.411,19.411,19.411,91.84,1.761,0.1,0,37.677,0,-17.035,2.313,14,701288,1200361,666.6704,378.79,705.74,274.98,TX
1254,12/31/2023,INDL,MATX,57686G105,MATSON INC,293.4,248.4,248.4,2400.7,295.8,297.1,295.8,2332.7,35.7,0.75,176.4,478.6,0,-289.7,21.1,11,3453,68548121,3770.24,109.6,114.55,56.51,HI
