ticker,year,gvkey,gender,co_per_rol,pceo,pcfo,title,age,bonus,opt_exer_val,opt_unex_exer_est_val,opt_unex_unexer_est_val,othcomp,pension_value_tot,salary,stock_awards,stock_unvest_val,tdc1,tdc2,total_sec
AIR,2023,1004,MALE,51547,CEO,,"CEO, President & Chairman of the Board",47,0,5799.275,10065.889,1684.328,482.257,0,1050,3272.152,13379.485,7865.228,12846.484,7865.45
AIR,2023,1004,MALE,62300,,CFO,Senior VP & CFO,38,0,453.814,3436.652,485.493,161.438,0,494,680.302,943.812,2385.017,2668.874,2385.017
AIR,2023,1004,MALE,64605,,,Senior VP & Chief Commercial Officer,46,0,1350.526,1517.594,404.053,182.799,0,494,680.302,1450.965,2406.378,3586.947,2406.378
AIR,2023,1004,FEMALE,64606,,,"Senior VP, General Counsel, Chief Administrative Officer & Secretary",45,0,783.824,0,309.341,128.839,0,450,540.163,611.579,2055.031,2703.826,2055.031
AIR,2023,1004,FEMALE,72668,,,Senior VP & Chief Human Resources Officer,48,0,0,0,35.171,29.627,0,412,580.078,450.787,1825.047,1755.065,1825.047
AAL,2023,1045,MALE,49255,,,Chief Strategy Officer & Vice Chair,67,0,0,0,0,64.613,0,826.346,6046,5081.807,4161.084,4161.084,10207.084
AAL,2023,1045,MALE,49258,CEO,,"CEO, President & Director",59,2750,0,0,0,110.002,0,1300,19500,9751.594,11938.162,11938.162,31438.162
AAL,2023,1045,MALE,71604,,CFO,Executive VP & CFO,48,2445.527,0,0,0,53.788,0,738.075,2360,2272.308,5578.302,5578.302,7938.302
AAL,2023,1045,FEMALE,71605,,,Executive VP & Chief Legal Officer,47,1185.069,0,0,0,47.838,0,693.25,3101,2914.652,4656.065,4656.065,7757.065
AAL,2023,1045,MALE,71606,,,Executive VP & Chief Commercial Officer,46,4468.169,0,0,0,47.425,0,731.25,4073,2337.546,8145.034,8145.034,12218.034
PNW,2023,1075,MALE,61549,CEO,,"Chairman, President & CEO",57,0,0,0,0,34.831,6471.62,1125,5028.405,3237.829,3753.703,3753.703,9322.192
PNW,2023,1075,MALE,63505,,,"Executive VP, General Counsel & Chief Development Officer",53,0,0,0,0,34.39,985.412,630,1055.255,638.37,2537.964,2537.964,2790.717
PNW,2023,1075,MALE,65526,,,President of Arizona Public Service Company,44,0,0,0,0,32.505,466.129,670,1467.032,1078.749,2984.824,2984.824,3255.088
