gvkey,ticker,year,exchange,inddesc,naics,naicsdesc,sic,sicdesc,state,execid,gender,becameceo,title,age,bonus,salary,shrown_excl_opts,shrs_vest_num,shrs_vest_val,stock_awards,stock_awards_fv,stock_unvest_num,stock_unvest_val,total_alt1,total_alt2,total_curr,total_curr_pct,total_sec
1004,AIR,2023,NYS,Aerospace & Defense,423860,Transportation Equipment and Supplies (except Moto,5080,"MACHINERY, EQUIPMENT, AND SUPPLIES",IL,48195,MALE,6/1/2018,"CEO, President & Chairman of the Board",47,0,1050,366.68,0,0,3272.152,3272.152,188.47,13379.485,7865.45,9574.554,1050,5,7865.45
1004,AIR,2023,NYS,Aerospace & Defense,423860,Transportation Equipment and Supplies (except Moto,5080,"MACHINERY, EQUIPMENT, AND SUPPLIES",IL,57007,MALE,,Senior VP & CFO,38,0,494,72.326,9.11,544.778,680.302,680.302,13.295,943.812,2385.017,2533.35,494,2.917,2385.017
1004,AIR,2023,NYS,Aerospace & Defense,423860,Transportation Equipment and Supplies (except Moto,5080,"MACHINERY, EQUIPMENT, AND SUPPLIES",IL,58967,MALE,,Senior VP & Chief Commercial Officer,46,0,494,70.297,10.3,615.94,680.302,680.302,20.439,1450.965,2406.378,3522.585,494,2.917,2406.378
1004,AIR,2023,NYS,Aerospace & Defense,423860,Transportation Equipment and Supplies (except Moto,5080,"MACHINERY, EQUIPMENT, AND SUPPLIES",IL,58968,FEMALE,,"Senior VP, General Counsel, Chief Administrative Officer & Secretary",45,0,450,39.065,0,0,540.163,540.163,8.615,611.579,2055.031,2163.663,450,4.651,2055.031
1004,AIR,2023,NYS,Aerospace & Defense,423860,Transportation Equipment and Supplies (except Moto,5080,"MACHINERY, EQUIPMENT, AND SUPPLIES",IL,65856,FEMALE,,Senior VP & Chief Human Resources Officer,48,0,412,14.135,0,0,580.078,580.078,6.35,450.787,1825.047,1174.987,412,,1825.047
1045,AAL,2023,NAS,Passenger Airlines,481111,Scheduled Passenger Air Transportation,4512,"AIR TRANSPORTATION, SCHEDULED",TX,46190,MALE,,Chief Strategy Officer & Vice Chair,67,0,826.346,1568.687,158.818,2520.656,6046,0,369.855,5081.807,4161.084,6681.74,826.346,12.334,10207.084
1045,AAL,2023,NAS,Passenger Airlines,481111,Scheduled Passenger Air Transportation,4512,"AIR TRANSPORTATION, SCHEDULED",TX,46193,MALE,3/31/2022,"CEO, President & Director",59,2750,1300,3237.522,240.026,3806.677,19500,0,709.723,9751.594,11938.162,15744.839,4050,248.512,31438.162
1045,AAL,2023,NAS,Passenger Airlines,481111,Scheduled Passenger Air Transportation,4512,"AIR TRANSPORTATION, SCHEDULED",TX,64960,MALE,,Executive VP & CFO,48,2445.527,738.075,547.368,83.385,1128.972,2360,0,165.379,2272.308,5578.302,6707.274,3183.602,,7938.302
1045,AAL,2023,NAS,Passenger Airlines,481111,Scheduled Passenger Air Transportation,4512,"AIR TRANSPORTATION, SCHEDULED",TX,64961,FEMALE,,Executive VP & Chief Legal Officer,47,1185.069,693.25,685.776,102.553,1402.276,3101,0,212.129,2914.652,4656.065,6058.341,1878.319,,7757.065
1045,AAL,2023,NAS,Passenger Airlines,481111,Scheduled Passenger Air Transportation,4512,"AIR TRANSPORTATION, SCHEDULED",TX,64962,MALE,,Executive VP & Chief Commercial Officer,46,4468.169,731.25,523.308,43.115,605.702,4073,0,170.127,2337.546,8145.034,8750.736,5199.419,,12218.034
1075,PNW,2023,NYS,Electric Utilities,2211,"Electric Power Generation, Transmission and Distri",4911,ELECTRIC SERVICES,AZ,56357,MALE,11/15/2019,"Chairman, President & CEO",57,0,1125,64.793,30.96,2344.412,5028.405,683.867,45.07,3237.829,4977.654,6638.199,1125,2.273,9322.192
1075,PNW,2023,NYS,Electric Utilities,2211,"Electric Power Generation, Transmission and Distri",4911,ELECTRIC SERVICES,AZ,58043,MALE,,"Executive VP, General Counsel & Chief Development Officer",53,0,630,11.348,6.792,513.647,1055.255,1055.255,8.886,638.37,2790.717,2249.109,630,1.613,2790.717
1075,PNW,2023,NYS,Electric Utilities,2211,"Electric Power Generation, Transmission and Distri",4911,ELECTRIC SERVICES,AZ,59741,MALE,,President of Arizona Public Service Company,44,0,670,12.794,6.479,489.12,1467.032,1467.032,15.016,1078.749,3255.088,2277.176,670,7.672,3255.088
1075,PNW,2023,NYS,Electric Utilities,2211,"Electric Power Generation, Transmission and Distri",4911,ELECTRIC SERVICES,AZ,42679,MALE,,EVP & Chief Nuclear Officer of Palo Verde Generating Station of Arizona Public Service Company,58,0,715,5.773,4.355,327.06,1338.517,936.388,13.065,938.59,2674.178,2064.85,715,-20.628,3076.307
1075,PNW,2023,NYS,Electric Utilities,2211,"Electric Power Generation, Transmission and Distri",4911,ELECTRIC SERVICES,AZ,62753,MALE,,Senior VP & CFO,44,0,600,3.919,2.997,226.307,1269.171,1269.171,11.416,820.126,2654.293,1611.429,600,36.11,2654.293
1076,PRG,2023,NYS,Consumer Finance,522220,Sales Financing,6141,PERSONAL CREDIT INSTITUTIONS,UT,47216,MALE,12/1/2020,"CEO, President & Director",51,0,975,198.344,53.527,1395.984,4675.007,3750.004,331.555,10248.365,8267.228,4663.198,975,2.632,9192.231
1076,PRG,2023,NYS,Consumer Finance,522220,Sales Financing,6141,PERSONAL CREDIT INSTITUTIONS,UT,48955,MALE,,"Founder, Chief Innovation Officer & Director",50,0,130,254.314,25.294,659.668,821.983,599.988,78.667,2431.597,750.301,809.981,130,-76.364,972.296
1076,PRG,2023,NYS,Consumer Finance,522220,Sales Financing,6141,PERSONAL CREDIT INSTITUTIONS,UT,59744,MALE,,Chief Financial Officer,43,0,550,38.04,10.448,272.484,1285.625,1031.25,86.588,2676.435,2843.523,1741.009,550,10,3097.898
1076,PRG,2023,NYS,Consumer Finance,522220,Sales Financing,6141,PERSONAL CREDIT INSTITUTIONS,UT,64963,MALE,,Chief Legal & Compliance Officer,56,0,366.875,10.266,5.439,143.391,547.579,476.376,28.742,888.415,1372.055,1039.07,366.875,,1443.258
1078,ABT,2023,NYS,Health Care Equipment,334510,Electromedical and Electrotherapeutic Apparatus Ma,3845,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,IL,45355,MALE,,"Executive VP, General Counsel & Secretary",57,0,830,184.806,19.604,1955.891,1959.639,1959.639,0,0,7420.66,5456.919,830,1.515,7420.66
1078,ABT,2023,NYS,Health Care Equipment,334510,Electromedical and Electrotherapeutic Apparatus Ma,3845,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,IL,54877,MALE,3/31/2020,"Chairman of the Board, President & CEO",49,0,1500,417.462,69.391,6923.14,7436.6,7436.6,0,0,23268.171,15317.062,1500,0,23268.171
1078,ABT,2023,NYS,Health Care Equipment,334510,Electromedical and Electrotherapeutic Apparatus Ma,3845,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,IL,54878,MALE,,Executive VP and Group President of Established Pharmaceuticals & Nutritional Products,44,0,790,125.697,21.619,2156.928,1880.183,1880.183,0,0,5934.83,4331.082,790,0,5934.83
1078,ABT,2023,NYS,Health Care Equipment,334510,Electromedical and Electrotherapeutic Apparatus Ma,3845,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,IL,57727,FEMALE,,Executive VP & Group President of Medical Devices,53,0,737.654,84.314,16.656,1661.769,1684.197,1684.197,0,0,5498.436,3791.531,737.654,,5498.436
1078,ABT,2023,NYS,Health Care Equipment,334510,Electromedical and Electrotherapeutic Apparatus Ma,3845,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,IL,59421,MALE,,Executive Vice President of Finance,62,0,875,270.606,26.044,2598.41,2593.908,2593.908,0,0,8992.208,6402.361,875,1.021,8992.208
1078,ABT,2023,NYS,Health Care Equipment,334510,Electromedical and Electrotherapeutic Apparatus Ma,3845,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS,IL,64660,MALE,,CFO & Senior VP of Finance,50,0,513.943,39.706,5.036,502.442,786.041,270.319,0,0,2801.46,2247.311,513.943,,3317.182
1161,AMD,2023,NAS,Semiconductors,334413,Semiconductor and Related Device Manufacturing,3674,SEMICONDUCTORS AND RELATED DEVICES,CA,37809,FEMALE,8/10/2014,"Chair, President & CEO",53,0,1200,3840.36,324.071,34902.666,21848.258,0,64.657,9531.088,8500.023,157968.034,1200,4.449,30348.281
1161,AMD,2023,NAS,Semiconductors,334413,Semiconductor and Related Device Manufacturing,3674,SEMICONDUCTORS AND RELATED DEVICES,CA,44121,MALE,,Executive Officer,67,0,251.231,555.75,82.885,8343.912,5644.769,0,0,0,268.062,16659.907,251.231,-63.728,7127.117
1161,AMD,2023,NAS,Semiconductors,334413,Semiconductor and Related Device Manufacturing,3674,SEMICONDUCTORS AND RELATED DEVICES,CA,46838,MALE,,Executive VP & GM of Data Center Solutions Business Unit,58,0,693.462,266.181,59.132,6370.263,13258.106,2809.662,57.823,8523.688,5302.197,7597.807,693.462,,15750.641
1161,AMD,2023,NAS,Semiconductors,334413,Semiconductor and Related Device Manufacturing,3674,SEMICONDUCTORS AND RELATED DEVICES,CA,22632,MALE,,President of AMD,63,0,915,251.59,65.847,6799.873,9229.013,7282.753,98.996,14593,10843.183,8414.15,915,-83.495,12789.443
1161,AMD,2023,NAS,Semiconductors,334413,Semiconductor and Related Device Manufacturing,3674,SEMICONDUCTORS AND RELATED DEVICES,CA,36681,FEMALE,,"Executive VP, CFO & Treasurer",60,2000,683.173,59.506,0,0,28146.669,22527.259,105.573,15562.516,25734.858,3207.599,2683.173,,32813.869
1161,AMD,2023,NAS,Semiconductors,334413,Semiconductor and Related Device Manufacturing,3674,SEMICONDUCTORS AND RELATED DEVICES,CA,64964,MALE,,,,3000,418.269,0.127,0,0,17410.993,14617.829,69.023,10174.681,19567.443,3781.955,3418.269,,22360.607
