gvkey,tic,act,at,capx,che,cogs,ib,pi,revt,txc,txdb,txdc,txdi,txt,state,Total Income Taxes as % of pretax income,Total Income Deferred Taxes as % of pretax income,Total Income Deferred Taxes as % of total assets
1004,AIR,1097.9,1833.1,29.5,81.8,1591.3,89.8,121.2,1990.6,33.6,33.6,-2.2,-2.2,31.4,Illinois,0.25907590759075905,-0.018151815181518153,-0.0012001527467132183
1050,CECO,281.437,600.291,8.384,55.448,369.206,12.911,21.525,544.845,7.147,8.838,-0.118,-0.123,7.024,Texas,0.3263182346109176,-0.005481997677119628,-0.0001965713295718243
1075,PNW,1926.967,24661.153,1889.934,4.955,3077.308,501.557,595.693,4695.991,24.126,2416.48,52.755,52.786,76.912,Arizona,0.12911348630922306,0.08856071835660316,0.0021391943839770998
1084,WDDD,0.265,0.265,0.0,0.245,0.0,0.082,0.082,0.0,0.0,0.0,0.0,0.0,0.0,Massachusetts,0.0,0.0,0.0
1104,ACU,92.024,149.241,4.674,5.546,114.223,17.793,22.734,191.501,4.346,0.899,0.594,0.595,4.941,Connecticut,0.21733966745843228,0.026128266033254154,0.003980139505899853
1117,BKTI,37.202,49.408,2.117,3.456,50.223,-2.23,-2.176,74.094,0.054,0.0,0.0,0.0,0.054,Florida,-0.024816176470588234,-0.0,0.0
1121,AE,232.471,361.334,11.897,45.246,2700.099,0.212,0.486,2745.293,2.69,12.948,-2.416,-2.416,0.274,Texas,0.5637860082304528,-4.97119341563786,-0.006686334527058068
1161,AMD,16768.0,67885.0,546.0,5773.0,10833.0,854.0,508.0,22680.0,673.0,1202.0,-1019.0,-1019.0,-346.0,California,-0.6811023622047244,-2.0059055118110236,-0.015010679826176623
1209,APD,5200.5,32002.5,4626.4,1949.2,7474.7,2292.8,2882.4,12600.0,575.9,1266.0,-24.7,-24.7,551.2,Pennsylvania,0.19122953094643352,-0.00856924784901471,-0.0007718147019764081
1210,AIRT,116.557,189.562,1.178,9.451,201.66,-12.295,-11.353,247.323,1.041,2.417,0.0,-0.609,0.432,North Carolina,-0.038051616312868845,-0.0,0.0
