ticker,gvkey,co_per_rol,pceo,bonus,opt_exer_val,opt_unex_unexer_est_val,othcomp,salary,stock_awards,stock_unvest_val,tdc1,tdc2,total_sec,Stock as % of total compensation,Options as % of total compensation
AIR,1004,51547,CEO,0.0,5799.275,1684.328,482.257,1050.0,3272.152,13379.485,7865.228,12846.484,7865.45,0.4160276091169894,0.7373308186361539
AAL,1045,49258,CEO,2750.0,0.0,0.0,110.002,1300.0,19500.0,9751.594,11938.162,11938.162,31438.162,1.6334172714359212,0.0
PNW,1075,61549,CEO,0.0,0.0,0.0,34.831,1125.0,5028.405,3237.829,3753.703,3753.703,9322.192,1.3395852042636298,0.0
PRG,1076,50433,CEO,0.0,0.0,788.999,40.319,975.0,4675.007,10248.365,8267.228,7017.218,9192.231,0.5654866419554414,0.0
ABT,1078,59834,CEO,0.0,0.0,0.0,283.392,1500.0,7436.6,0.0,19602.891,12165.242,23268.171,0.3793624113912586,0.0
AMD,1161,46953,CEO,0.0,120403.857,0.0,28.711,1200.0,21848.258,9531.088,8500.023,123065.368,30348.281,2.5703763389816716,14.165121317907024
APD,1209,49820,CEO,0.0,0.0,0.0,401.795,1350.0,17074.629,18076.385,9994.108,9994.108,22078.099,1.7084695302472217,0.0
ALK,1230,40103,CEO,0.0,0.0,0.0,386.446,637.692,7969.932,0.0,8570.214,8570.214,10313.054,0.9299571749316878,0.0
MATX,1254,26876,CEO,0.0,0.0,0.0,110.673,904.234,3237.822,4590.048,5969.645,5969.645,6165.815,0.5423809958548623,0.0
HON,1300,69004,CEO,0.0,3112.053,2198.296,435.965,1225.0,7530.223,6418.805,14117.792,14719.741,14401.63,0.5333853197440507,0.22043482436913647
SWKS,1327,24897,CEO,0.0,348.977,0.0,26.404,1170.502,14554.926,6268.845,2706.51,3055.487,17261.436,5.37774698781826,0.128939852429882
HES,1380,79,CEO,0.0,0.0,3090.787,26.334,1500.0,6900.071,0.0,16750.203,12150.205,16750.203,0.41193954485208323,0.0
ABM,1410,51946,CEO,0.0,0.0,0.0,21.0,1000.0,5750.227,5218.805,2503.375,2503.375,8253.602,2.2969898636840265,0.0
PRI,1414,46621,CEO,0.0,2487.963,0.0,131.65,600.0,2199.91,1221.803,4179.56,6667.523,4179.56,0.5263496636009531,0.5952691192374316
AEP,1440,43255,CEO,0.0,0.0,0.0,359.384,862.5,2000.0,1814.049,3918.033,3918.033,4647.101,0.5104602232804063,0.0
AXP,1447,37051,CEO,9750.0,0.0,0.0,625.127,1500.0,19287.28,0.0,16325.091,16325.091,35676.905,1.1814500758372495,0.0
AFL,1449,2653,CEO,0.0,0.0,0.0,474.889,1441.1,10270.666,33137.858,7712.322,7712.322,20703.253,1.3317216267681768,0.0
AIG,1487,59843,CEO,0.0,0.0,8480.108,258.645,1500.0,10359.302,95508.799,14258.634,10758.645,24617.936,0.7265283616929924,0.0
AVD,1585,38031,CEO,0.0,0.0,0.0,65.692,755.655,1688.426,2222.566,2509.773,2509.773,2509.773,0.6727405227484716,0.0
AME,1598,27232,CEO,788.8,6915.357,3319.29,566.38,1360.0,7219.863,0.0,9189.973,11948.951,14538.544,0.785623962116102,0.7524893707522318
AMGN,1602,34806,CEO,0.0,0.0,17889.771,680.456,1786.977,11138.503,12334.457,22643.65,17869.936,22643.65,0.4919040437385315,0.0
ADI,1632,33925,CEO,0.0,5437.953,2376.102,345.193,1128.846,19997.672,6919.764,20544.113,25982.066,25543.635,0.9734015773764483,0.264696412057313
ANDE,1659,51953,CEO,0.0,0.0,0.0,633.2,1000.0,3468.141,0.0,3631.632,3631.632,6826.492,0.9549813967935077,0.0
NBR,1661,2680,CEO,0.0,0.0,0.0,1437.658,1750.0,5562.922,6732.516,10326.548,10326.548,10334.034,0.5387010257445178,0.0
APA,1678,50448,CEO,0.0,0.0,0.0,611.299,1300.0,9384.742,3295.614,8526.547,8526.547,13763.441,1.1006497706515896,0.0
APOG,1686,65540,CEO,0.0,0.0,0.0,181.931,909.231,1732.495,4065.949,5498.397,5498.397,5498.397,0.315090925591586,0.0
AAPL,1690,15741,CEO,0.0,0.0,0.0,2526.112,3000.0,46970.283,93202.615,63209.845,63209.845,63209.845,0.7430849260902317,0.0
AMAT,1704,46415,CEO,0.0,0.0,0.0,241.976,1030.0,23951.048,10239.431,26854.544,26854.544,26854.544,0.8918806441099874,0.0
EPAC,1706,68682,CEO,0.0,0.0,0.0,367.676,774.519,6999.985,7323.764,9608.505,9608.505,9608.505,0.7285196812615491,0.0
ADM,1722,44352,CEO,0.0,0.0,0.0,1284.902,1482.918,17919.686,23539.387,6377.431,6377.431,24414.668,2.809859644110615,0.0
