gvkey,tic,act,at,capx,che,cogs,ib,pi,revt,txc,txdb,txdc,txdi,txt,state,Total Income Taxes as % of pretax income,Total Income Deferred Taxes as % of pretax income,Total Income Deferred Taxes as % of total assets,ticker,co_per_rol,pceo,bonus,opt_exer_val,opt_unex_unexer_est_val,othcomp,salary,stock_awards,stock_unvest_val,tdc1,tdc2,total_sec,Stock as % of total compensation,Options as % of total compensation
1004,AIR,1097.9,1833.1,29.5,81.8,1591.3,89.8,121.2,1990.6,33.6,33.6,-2.2,-2.2,31.4,Illinois,0.25907590759075905,-0.018151815181518153,-0.0012001527467132183,AIR,51547,CEO,0.0,5799.275,1684.328,482.257,1050.0,3272.152,13379.485,7865.228,12846.484,7865.45,0.4160276091169894,0.7373308186361539
1075,PNW,1926.967,24661.153,1889.934,4.955,3077.308,501.557,595.693,4695.991,24.126,2416.48,52.755,52.786,76.912,Arizona,0.12911348630922306,0.08856071835660316,0.0021391943839770998,PNW,61549,CEO,0.0,0.0,0.0,34.831,1125.0,5028.405,3237.829,3753.703,3753.703,9322.192,1.3395852042636298,0.0
1161,AMD,16768.0,67885.0,546.0,5773.0,10833.0,854.0,508.0,22680.0,673.0,1202.0,-1019.0,-1019.0,-346.0,California,-0.6811023622047244,-2.0059055118110236,-0.015010679826176623,AMD,46953,CEO,0.0,120403.857,0.0,28.711,1200.0,21848.258,9531.088,8500.023,123065.368,30348.281,2.5703763389816716,14.165121317907024
1209,APD,5200.5,32002.5,4626.4,1949.2,7474.7,2292.8,2882.4,12600.0,575.9,1266.0,-24.7,-24.7,551.2,Pennsylvania,0.19122953094643352,-0.00856924784901471,-0.0007718147019764081,APD,49820,CEO,0.0,0.0,0.0,401.795,1350.0,17074.629,18076.385,9994.108,9994.108,22078.099,1.7084695302472217,0.0
1230,ALK,2705.0,14613.0,1494.0,1791.0,8106.0,235.0,323.0,10426.0,-7.0,695.0,81.0,95.0,88.0,Washington,0.2724458204334365,0.25077399380804954,0.005543009648942722,ALK,40103,CEO,0.0,0.0,0.0,386.446,637.692,7969.932,0.0,8570.214,8570.214,10313.054,0.9299571749316878,0.0
1254,MATX,602.3,4294.6,248.4,136.3,2332.7,297.1,373.0,3094.6,56.2,669.3,19.6,19.7,75.9,Hawaii,0.20348525469168902,0.05254691689008043,0.004563870907651469,MATX,26876,CEO,0.0,0.0,0.0,110.673,904.234,3237.822,4590.048,5969.645,5969.645,6165.815,0.5423809958548623,0.0
1300,HON,23502.0,61525.0,1039.0,8095.0,22044.0,5658.0,7159.0,36662.0,1334.0,2094.0,153.0,153.0,1487.0,North Carolina,0.20771057410252827,0.021371699958094705,0.002486793986184478,HON,69004,CEO,0.0,3112.053,2198.296,435.965,1225.0,7530.223,6418.805,14117.792,14719.741,14401.63,0.5333853197440507,0.22043482436913647
1327,SWKS,3179.5,8426.7,210.3,734.4,2037.1,982.8,1078.8,4772.4,238.9,9.1,-151.2,-142.9,96.0,California,0.08898776418242492,-0.14015572858731923,-0.017942966997757125,SWKS,24897,CEO,0.0,348.977,0.0,26.404,1170.502,14554.926,6268.845,2706.51,3055.487,17261.436,5.37774698781826,0.128939852429882
1410,ABM,1710.8,4933.7,52.6,69.5,6993.4,251.3,331.1,8096.4,84.7,85.0,-4.9,-4.9,79.8,New York,0.24101479915433402,-0.014799154334038054,-0.000993169426596672,ABM,51946,CEO,0.0,0.0,0.0,21.0,1000.0,5750.227,5218.805,2503.375,2503.375,8253.602,2.2969898636840265,0.0
1440,AEP,6082.1,96684.0,7506.5,593.3,12208.7,2208.1,2267.2,18982.3,-47.7,9415.7,185.1,102.3,54.6,Ohio,0.02408256880733945,0.08164255469301342,0.00191448429936701,AEP,43255,CEO,0.0,0.0,0.0,359.384,862.5,2000.0,1814.049,3918.033,3918.033,4647.101,0.5104602232804063,0.0
1585,AVD,432.021,767.548,11.878,11.416,378.427,7.519,10.297,579.371,12.487,7.892,-9.71,-9.709,2.778,California,0.26978731669418277,-0.9429931047878023,-0.012650674615789502,AVD,38031,CEO,0.0,0.0,0.0,65.692,755.655,1688.426,2222.566,2509.773,2509.773,2509.773,0.6727405227484716,0.0
1598,AME,2824.668,15023.533,136.249,409.804,3874.849,1313.188,1606.412,6596.95,385.126,836.695,-91.903,-91.902,293.224,Pennsylvania,0.1825334970107295,-0.05721010550219994,-0.006117269486478314,AME,27232,CEO,788.8,6915.357,3319.29,566.38,1360.0,7219.863,0.0,9189.973,11948.951,14538.544,0.785623962116102,0.7524893707522318
1602,AMGN,30332.0,97154.0,1112.0,10944.0,4530.0,6717.0,7855.0,28190.0,2353.0,2354.0,-1273.0,-1215.0,1138.0,California,0.14487587523870146,-0.16206238064926798,-0.013102908783992425,AMGN,34806,CEO,0.0,0.0,17889.771,680.456,1786.977,11138.503,12334.457,22643.65,17869.936,22643.65,0.4919040437385315,0.0
